# deltaR(34)
# underflow	  0.0000000    	  0.0000000    
# overflow	  0.0000000    	  0.0000000    
# sum	  12936.770    	  8.2626803    
# xmin	xmax	cross	numerror
  0.0000000    	 0.10000000    	  12936.770    	  8.2626803    
 0.10000000    	 0.20000000    	  0.0000000    	  0.0000000    
 0.20000000    	 0.30000000    	  0.0000000    	  0.0000000    
 0.30000000    	 0.40000000    	  0.0000000    	  0.0000000    
 0.40000000    	 0.50000000    	  0.0000000    	  0.0000000    
 0.50000000    	 0.60000000    	  0.0000000    	  0.0000000    
 0.60000000    	 0.70000000    	  0.0000000    	  0.0000000    
 0.70000000    	 0.80000000    	  0.0000000    	  0.0000000    
 0.80000000    	 0.90000000    	  0.0000000    	  0.0000000    
 0.90000000    	  1.0000000    	  0.0000000    	  0.0000000    
  1.0000000    	  1.1000000    	  0.0000000    	  0.0000000    
  1.1000000    	  1.2000000    	  0.0000000    	  0.0000000    
  1.2000000    	  1.3000000    	  0.0000000    	  0.0000000    
  1.3000000    	  1.4000000    	  0.0000000    	  0.0000000    
  1.4000000    	  1.5000000    	  0.0000000    	  0.0000000    
  1.5000000    	  1.6000000    	  0.0000000    	  0.0000000    
  1.6000000    	  1.7000000    	  0.0000000    	  0.0000000    
  1.7000000    	  1.8000000    	  0.0000000    	  0.0000000    
  1.8000000    	  1.9000000    	  0.0000000    	  0.0000000    
  1.9000000    	  2.0000000    	  0.0000000    	  0.0000000    
  2.0000000    	  2.1000000    	  0.0000000    	  0.0000000    
  2.1000000    	  2.2000000    	  0.0000000    	  0.0000000    
  2.2000000    	  2.3000000    	  0.0000000    	  0.0000000    
  2.3000000    	  2.4000000    	  0.0000000    	  0.0000000    
  2.4000000    	  2.5000000    	  0.0000000    	  0.0000000    
  2.5000000    	  2.6000000    	  0.0000000    	  0.0000000    
  2.6000000    	  2.7000000    	  0.0000000    	  0.0000000    
  2.7000000    	  2.8000000    	  0.0000000    	  0.0000000    
  2.8000000    	  2.9000000    	  0.0000000    	  0.0000000    
  2.9000000    	  3.0000000    	  0.0000000    	  0.0000000    
  3.0000000    	  3.1000000    	  0.0000000    	  0.0000000    
  3.1000000    	  3.2000000    	  0.0000000    	  0.0000000    
  3.2000000    	  3.3000000    	  0.0000000    	  0.0000000    
  3.3000000    	  3.4000000    	  0.0000000    	  0.0000000    
  3.4000000    	  3.5000000    	  0.0000000    	  0.0000000    
  3.5000000    	  3.6000000    	  0.0000000    	  0.0000000    
  3.6000000    	  3.7000000    	  0.0000000    	  0.0000000    
  3.7000000    	  3.8000000    	  0.0000000    	  0.0000000    
  3.8000000    	  3.9000000    	  0.0000000    	  0.0000000    
  3.9000000    	  4.0000000    	  0.0000000    	  0.0000000    
  4.0000000    	  4.1000000    	  0.0000000    	  0.0000000    
  4.1000000    	  4.2000000    	  0.0000000    	  0.0000000    
  4.2000000    	  4.3000000    	  0.0000000    	  0.0000000    
  4.3000000    	  4.4000000    	  0.0000000    	  0.0000000    
  4.4000000    	  4.5000000    	  0.0000000    	  0.0000000    
  4.5000000    	  4.6000000    	  0.0000000    	  0.0000000    
  4.6000000    	  4.7000000    	  0.0000000    	  0.0000000    
  4.7000000    	  4.8000000    	  0.0000000    	  0.0000000    
  4.8000000    	  4.9000000    	  0.0000000    	  0.0000000    
  4.9000000    	  5.0000000    	  0.0000000    	  0.0000000    
