# deltaY(34)
# underflow	 0.66970838E-01	 0.18889066E-02
# overflow	 0.66840932E-01	 0.22592699E-02
# sum	  12905.009    	  9.9575643    
# xmin	xmax	cross	numerror
 -5.0000000    	 -4.6000000    	 0.45257246    	 0.53584738E-02
 -4.6000000    	 -4.2000000    	  1.7708309    	 0.14091718E-01
 -4.2000000    	 -3.8000000    	  5.4852974    	 0.32515388E-01
 -3.8000000    	 -3.4000000    	  15.240150    	 0.77510568E-01
 -3.4000000    	 -3.0000000    	  38.254896    	 0.15113453    
 -3.0000000    	 -2.6000000    	  88.473667    	 0.32464928    
 -2.6000000    	 -2.2000000    	  186.83740    	 0.61550811    
 -2.2000000    	 -1.8000000    	  363.08908    	  1.0662577    
 -1.8000000    	 -1.4000000    	  633.50971    	  1.7159941    
 -1.4000000    	 -1.0000000    	  1003.4187    	  2.3982276    
 -1.0000000    	-0.60000000    	  1403.4874    	  3.3586302    
-0.60000000    	-0.20000000    	  1754.6313    	  4.3949816    
-0.20000000    	 0.20000000    	  1905.5280    	  4.3049501    
 0.20000000    	 0.60000000    	  1750.9797    	  3.8218710    
 0.60000000    	  1.0000000    	  1409.2799    	  3.6177690    
  1.0000000    	  1.4000000    	  1005.3598    	  2.7361203    
  1.4000000    	  1.8000000    	  639.06295    	  1.7391258    
  1.8000000    	  2.2000000    	  363.32655    	  1.0050471    
  2.2000000    	  2.6000000    	  186.86445    	 0.56765921    
  2.6000000    	  3.0000000    	  88.314627    	 0.32320152    
  3.0000000    	  3.4000000    	  38.466408    	 0.16352990    
  3.4000000    	  3.8000000    	  15.308184    	 0.76563917E-01
  3.8000000    	  4.2000000    	  5.5023731    	 0.35671734E-01
  4.2000000    	  4.6000000    	  1.7709475    	 0.14730102E-01
  4.6000000    	  5.0000000    	 0.46075249    	 0.56636450E-02
