# m(34)
# underflow	  0.0000000    	  0.0000000    
# overflow	  49.518745    	 0.48632895    
# sum	  12914.466    	  9.9064262    
# xmin	xmax	cross	numerror
  0.0000000    	  5.0000000    	  0.0000000    	  0.0000000    
  5.0000000    	  10.000000    	  0.0000000    	  0.0000000    
  10.000000    	  15.000000    	  0.0000000    	  0.0000000    
  15.000000    	  20.000000    	  0.0000000    	  0.0000000    
  20.000000    	  25.000000    	  0.0000000    	  0.0000000    
  25.000000    	  30.000000    	  0.0000000    	  0.0000000    
  30.000000    	  35.000000    	  0.0000000    	  0.0000000    
  35.000000    	  40.000000    	  0.0000000    	  0.0000000    
  40.000000    	  45.000000    	  0.0000000    	  0.0000000    
  45.000000    	  50.000000    	  0.0000000    	  0.0000000    
  50.000000    	  55.000000    	  1451.5367    	  4.6086158    
  55.000000    	  60.000000    	  1822.6097    	  4.2184127    
  60.000000    	  65.000000    	  1630.3489    	  3.7072751    
  65.000000    	  70.000000    	  1356.3685    	  2.9121454    
  70.000000    	  75.000000    	  1109.4467    	  2.7065822    
  75.000000    	  80.000000    	  908.81812    	  2.3036554    
  80.000000    	  85.000000    	  735.32514    	  2.0955274    
  85.000000    	  90.000000    	  602.41129    	  1.7805521    
  90.000000    	  95.000000    	  493.96660    	  1.7154438    
  95.000000    	  100.00000    	  407.40495    	  1.3925725    
  100.00000    	  105.00000    	  339.00280    	  1.3491254    
  105.00000    	  110.00000    	  280.40125    	  1.1775136    
  110.00000    	  115.00000    	  236.59971    	  1.0955039    
  115.00000    	  120.00000    	  198.89005    	 0.97894921    
  120.00000    	  125.00000    	  168.13208    	 0.92391514    
  125.00000    	  130.00000    	  143.24510    	 0.79948917    
  130.00000    	  135.00000    	  124.03663    	 0.78080464    
  135.00000    	  140.00000    	  104.49505    	 0.71201880    
  140.00000    	  145.00000    	  90.850027    	 0.70654820    
  145.00000    	  150.00000    	  78.537334    	 0.59412390    
  150.00000    	  155.00000    	  67.816156    	 0.58813257    
  155.00000    	  160.00000    	  59.277207    	 0.53229751    
  160.00000    	  165.00000    	  52.440112    	 0.49557278    
  165.00000    	  170.00000    	  44.797508    	 0.42288957    
  170.00000    	  175.00000    	  39.492796    	 0.43712874    
  175.00000    	  180.00000    	  35.206692    	 0.42332000    
  180.00000    	  185.00000    	  31.388881    	 0.36954417    
  185.00000    	  190.00000    	  27.442458    	 0.36125512    
  190.00000    	  195.00000    	  25.375819    	 0.42153922    
  195.00000    	  200.00000    	  21.994578    	 0.31154591    
  200.00000    	  205.00000    	  19.409019    	 0.31919776    
  205.00000    	  210.00000    	  17.202499    	 0.26775467    
  210.00000    	  215.00000    	  16.485775    	 0.30493703    
  215.00000    	  220.00000    	  14.443668    	 0.26210007    
  220.00000    	  225.00000    	  12.789465    	 0.23434862    
  225.00000    	  230.00000    	  11.419929    	 0.20020294    
  230.00000    	  235.00000    	  10.691520    	 0.22382906    
  235.00000    	  240.00000    	  9.3788358    	 0.17809124    
  240.00000    	  245.00000    	  8.5833699    	 0.18990511    
  245.00000    	  250.00000    	  7.5923782    	 0.15827672    
  250.00000    	  255.00000    	  6.9333247    	 0.17202293    
  255.00000    	  260.00000    	  6.5771253    	 0.17490546    
  260.00000    	  265.00000    	  6.1556722    	 0.15437917    
  265.00000    	  270.00000    	  5.6754779    	 0.15131816    
  270.00000    	  275.00000    	  4.7084495    	 0.13286108    
  275.00000    	  280.00000    	  4.5926306    	 0.13986437    
  280.00000    	  285.00000    	  4.2426497    	 0.13418676    
  285.00000    	  290.00000    	  3.7068681    	 0.11512792    
  290.00000    	  295.00000    	  3.1812769    	 0.96745370E-01
  295.00000    	  300.00000    	  3.5181202    	 0.12422301    
