# pt(3)
# underflow	  0.0000000    	  0.0000000    
# overflow	  5.3547376    	 0.87432706E-01
# sum	  12923.978    	  9.3756438    
# xmin	xmax	cross	numerror
  0.0000000    	  5.0000000    	  0.0000000    	  0.0000000    
  5.0000000    	  10.000000    	  0.0000000    	  0.0000000    
  10.000000    	  15.000000    	  0.0000000    	  0.0000000    
  15.000000    	  20.000000    	  0.0000000    	  0.0000000    
  20.000000    	  25.000000    	  0.0000000    	  0.0000000    
  25.000000    	  30.000000    	  5899.5786    	  6.8211939    
  30.000000    	  35.000000    	  2863.0547    	  3.9131608    
  35.000000    	  40.000000    	  1540.7439    	  3.0154664    
  40.000000    	  45.000000    	  886.31341    	  2.2838173    
  45.000000    	  50.000000    	  540.65784    	  1.8099756    
  50.000000    	  55.000000    	  345.87070    	  1.5098026    
  55.000000    	  60.000000    	  230.77563    	  1.2908214    
  60.000000    	  65.000000    	  158.48922    	  1.0532268    
  65.000000    	  70.000000    	  110.19107    	 0.87770812    
  70.000000    	  75.000000    	  79.346627    	 0.77866747    
  75.000000    	  80.000000    	  59.104192    	 0.74295015    
  80.000000    	  85.000000    	  43.887321    	 0.59987263    
  85.000000    	  90.000000    	  33.340400    	 0.51527984    
  90.000000    	  95.000000    	  25.575463    	 0.49651211    
  95.000000    	  100.00000    	  19.481498    	 0.37413424    
  100.00000    	  105.00000    	  15.794438    	 0.31840115    
  105.00000    	  110.00000    	  11.859988    	 0.24928082    
  110.00000    	  115.00000    	  9.7917760    	 0.24467771    
  115.00000    	  120.00000    	  7.7714550    	 0.23475780    
  120.00000    	  125.00000    	  6.5804717    	 0.20625007    
  125.00000    	  130.00000    	  5.1949660    	 0.16158020    
  130.00000    	  135.00000    	  4.4752487    	 0.16627886    
  135.00000    	  140.00000    	  3.7092195    	 0.15745601    
  140.00000    	  145.00000    	  2.8362958    	 0.13401419    
  145.00000    	  150.00000    	  2.5375216    	 0.12233934    
  150.00000    	  155.00000    	  2.2033995    	 0.10663986    
  155.00000    	  160.00000    	  1.6765783    	 0.83835483E-01
  160.00000    	  165.00000    	  1.4113897    	 0.69172622E-01
  165.00000    	  170.00000    	  1.3092378    	 0.68111859E-01
  170.00000    	  175.00000    	  1.1135095    	 0.57674587E-01
  175.00000    	  180.00000    	 0.97540546    	 0.47708138E-01
  180.00000    	  185.00000    	 0.88989632    	 0.49485338E-01
  185.00000    	  190.00000    	 0.83929222    	 0.49052702E-01
  190.00000    	  195.00000    	 0.65013771    	 0.36187836E-01
  195.00000    	  200.00000    	 0.59263735    	 0.31966410E-01
