# y(3)
# underflow	  334.12524    	  2.4152725    
# overflow	  336.24977    	  2.2666557    
# sum	  12903.076    	  9.8067222    
# xmin	xmax	cross	numerror
 -2.4000000    	 -2.1600000    	  346.11499    	  1.8461258    
 -2.1600000    	 -1.9200000    	  416.07721    	  1.8693886    
 -1.9200000    	 -1.6800000    	  489.10368    	  1.9221767    
 -1.6800000    	 -1.4400000    	  555.35991    	  2.0108223    
 -1.4400000    	 -1.2000000    	  617.28057    	  2.1138556    
 -1.2000000    	-0.96000000    	  670.11338    	  2.0541704    
-0.96000000    	-0.72000000    	  716.81175    	  2.1763521    
-0.72000000    	-0.48000000    	  746.56049    	  2.1659027    
-0.48000000    	-0.24000000    	  774.26001    	  2.3221892    
-0.24000000    	  0.0000000    	  781.37837    	  2.0617521    
  0.0000000    	 0.24000000    	  785.24574    	  2.2042291    
 0.24000000    	 0.48000000    	  773.66855    	  2.3002060    
 0.48000000    	 0.72000000    	  749.67957    	  2.1532727    
 0.72000000    	 0.96000000    	  716.27800    	  2.1312782    
 0.96000000    	  1.2000000    	  668.37203    	  2.1907267    
  1.2000000    	  1.4400000    	  618.82581    	  1.9791570    
  1.4400000    	  1.6800000    	  555.10451    	  2.1523133    
  1.6800000    	  1.9200000    	  488.22955    	  1.8984387    
  1.9200000    	  2.1600000    	  417.91304    	  1.8588421    
  2.1600000    	  2.4000000    	  346.32417    	  1.7503921    
