# deltaY(34)
# underflow	 0.12221764    	 0.12095324E-01
# overflow	 0.14392075    	 0.12669609E-01
# sum	  24677.649    	  33.641693    
# xmin	xmax	cross	numerror
 -5.0000000    	 -4.6000000    	 0.87397816    	 0.38869584E-01
 -4.6000000    	 -4.2000000    	  3.5387185    	 0.88479830E-01
 -4.2000000    	 -3.8000000    	  11.204854    	 0.22017393    
 -3.8000000    	 -3.4000000    	  29.941822    	 0.41093242    
 -3.4000000    	 -3.0000000    	  76.158282    	 0.82504707    
 -3.0000000    	 -2.6000000    	  171.29342    	  1.4401252    
 -2.6000000    	 -2.2000000    	  358.29971    	  2.4177284    
 -2.2000000    	 -1.8000000    	  696.02520    	  4.2836662    
 -1.8000000    	 -1.4000000    	  1229.1503    	  6.3825141    
 -1.4000000    	 -1.0000000    	  1936.5319    	  8.7181716    
 -1.0000000    	-0.60000000    	  2682.7186    	  10.843568    
-0.60000000    	-0.20000000    	  3338.9938    	  13.546572    
-0.20000000    	 0.20000000    	  3616.6009    	  15.320888    
 0.20000000    	 0.60000000    	  3340.9020    	  12.961591    
 0.60000000    	  1.0000000    	  2685.4194    	  11.665559    
  1.0000000    	  1.4000000    	  1924.6271    	  9.2635967    
  1.4000000    	  1.8000000    	  1223.3842    	  5.9545509    
  1.8000000    	  2.2000000    	  698.02103    	  4.1655497    
  2.2000000    	  2.6000000    	  365.47743    	  2.4677532    
  2.6000000    	  3.0000000    	  169.43730    	  1.5105442    
  3.0000000    	  3.4000000    	  73.869404    	 0.84342442    
  3.4000000    	  3.8000000    	  29.381366    	 0.42631603    
  3.8000000    	  4.2000000    	  11.079450    	 0.19037350    
  4.2000000    	  4.6000000    	  3.5297048    	 0.89185016E-01
  4.6000000    	  5.0000000    	 0.92290652    	 0.42451720E-01
