# m(34)
# underflow	  0.0000000    	  0.0000000    
# overflow	  57.473466    	 0.83444961    
# sum	  24666.486    	  32.921425    
# xmin	xmax	cross	numerror
  0.0000000    	  5.0000000    	  0.0000000    	  0.0000000    
  5.0000000    	  10.000000    	  0.0000000    	  0.0000000    
  10.000000    	  15.000000    	  27.930917    	  2.7289469    
  15.000000    	  20.000000    	  35.566457    	  1.9547273    
  20.000000    	  25.000000    	  41.371140    	  1.6864616    
  25.000000    	  30.000000    	  48.103035    	  1.5903590    
  30.000000    	  35.000000    	  55.533177    	  1.5498460    
  35.000000    	  40.000000    	  71.268988    	  1.6870995    
  40.000000    	  45.000000    	  140.37797    	  2.4638049    
  45.000000    	  50.000000    	  2054.7117    	  9.4471748    
  50.000000    	  55.000000    	  4156.4478    	  16.692243    
  55.000000    	  60.000000    	  3310.5686    	  14.085687    
  60.000000    	  65.000000    	  2688.9572    	  10.791875    
  65.000000    	  70.000000    	  2159.0260    	  9.0097350    
  70.000000    	  75.000000    	  1732.9236    	  7.8752666    
  75.000000    	  80.000000    	  1393.9159    	  7.0625412    
  80.000000    	  85.000000    	  1113.2938    	  6.0830913    
  85.000000    	  90.000000    	  900.98930    	  5.0857147    
  90.000000    	  95.000000    	  737.33706    	  4.5632617    
  95.000000    	  100.00000    	  602.74536    	  4.0799904    
  100.00000    	  105.00000    	  496.19174    	  3.6701802    
  105.00000    	  110.00000    	  407.48475    	  3.1808116    
  110.00000    	  115.00000    	  346.57394    	  3.0346819    
  115.00000    	  120.00000    	  283.04890    	  2.7160934    
  120.00000    	  125.00000    	  242.26227    	  2.4649387    
  125.00000    	  130.00000    	  207.44032    	  2.3080200    
  130.00000    	  135.00000    	  173.95707    	  1.8865078    
  135.00000    	  140.00000    	  148.58910    	  1.8741248    
  140.00000    	  145.00000    	  127.26201    	  1.6408771    
  145.00000    	  150.00000    	  110.19921    	  1.5047934    
  150.00000    	  155.00000    	  92.819647    	  1.4099550    
  155.00000    	  160.00000    	  82.312904    	  1.3502498    
  160.00000    	  165.00000    	  73.053729    	  1.1973473    
  165.00000    	  170.00000    	  63.540944    	  1.1471838    
  170.00000    	  175.00000    	  55.980651    	  1.1220093    
  175.00000    	  180.00000    	  47.679065    	 0.95479267    
  180.00000    	  185.00000    	  44.229967    	 0.95840078    
  185.00000    	  190.00000    	  36.232469    	 0.77848237    
  190.00000    	  195.00000    	  33.607018    	 0.80787307    
  195.00000    	  200.00000    	  29.202206    	 0.72834341    
  200.00000    	  205.00000    	  27.456365    	 0.73377221    
  205.00000    	  210.00000    	  23.622080    	 0.65379702    
  210.00000    	  215.00000    	  22.118457    	 0.64422172    
  215.00000    	  220.00000    	  19.031640    	 0.59138333    
  220.00000    	  225.00000    	  17.210917    	 0.49955261    
  225.00000    	  230.00000    	  15.994181    	 0.49192055    
  230.00000    	  235.00000    	  14.534733    	 0.52672101    
  235.00000    	  240.00000    	  12.350081    	 0.46598164    
  240.00000    	  245.00000    	  11.164666    	 0.46392298    
  245.00000    	  250.00000    	  9.7051556    	 0.42562242    
  250.00000    	  255.00000    	  8.9541253    	 0.32887310    
  255.00000    	  260.00000    	  8.5757792    	 0.36961672    
  260.00000    	  265.00000    	  7.2354552    	 0.32197236    
  265.00000    	  270.00000    	  7.3205818    	 0.30149485    
  270.00000    	  275.00000    	  7.0539690    	 0.28163859    
  275.00000    	  280.00000    	  5.4559555    	 0.30705636    
  280.00000    	  285.00000    	  5.3833816    	 0.27365308    
  285.00000    	  290.00000    	  4.9612706    	 0.24719789    
  290.00000    	  295.00000    	  4.2179105    	 0.22766848    
  295.00000    	  300.00000    	  3.9302605    	 0.20371901    
