# pt(3)
# underflow	  0.0000000    	  0.0000000    
# overflow	  8.0232319    	 0.21975424    
# sum	  24694.305    	  74.863462    
# xmin	xmax	cross	numerror
  0.0000000    	  5.0000000    	  0.0000000    	  0.0000000    
  5.0000000    	  10.000000    	  0.0000000    	  0.0000000    
  10.000000    	  15.000000    	  0.0000000    	  0.0000000    
  15.000000    	  20.000000    	  0.0000000    	  0.0000000    
  20.000000    	  25.000000    	  7144.1585    	  22.617872    
  25.000000    	  30.000000    	  6956.6309    	  43.960668    
  30.000000    	  35.000000    	  3987.1824    	  32.771524    
  35.000000    	  40.000000    	  2343.0798    	  27.491142    
  40.000000    	  45.000000    	  1375.6210    	  21.222667    
  45.000000    	  50.000000    	  871.43414    	  15.827474    
  50.000000    	  55.000000    	  579.67592    	  11.839696    
  55.000000    	  60.000000    	  386.11678    	  10.244186    
  60.000000    	  65.000000    	  271.10134    	  9.9895184    
  65.000000    	  70.000000    	  187.75769    	  8.3738890    
  70.000000    	  75.000000    	  135.43754    	  7.2842521    
  75.000000    	  80.000000    	  94.831897    	  7.0433190    
  80.000000    	  85.000000    	  81.092220    	  5.2333311    
  85.000000    	  90.000000    	  53.750813    	  5.0505510    
  90.000000    	  95.000000    	  44.241633    	  3.7670454    
  95.000000    	  100.00000    	  31.990807    	  3.3698670    
  100.00000    	  105.00000    	  29.625754    	  3.1002760    
  105.00000    	  110.00000    	  20.296261    	  2.6328792    
  110.00000    	  115.00000    	  16.779551    	  2.2191697    
  115.00000    	  120.00000    	  14.338089    	  1.9084374    
  120.00000    	  125.00000    	  8.4548712    	  1.3434314    
  125.00000    	  130.00000    	  9.7517905    	  1.2877102    
  130.00000    	  135.00000    	  7.7393672    	  1.0978242    
  135.00000    	  140.00000    	  5.8187140    	 0.95880364    
  140.00000    	  145.00000    	  7.1242482    	 0.80361817    
  145.00000    	  150.00000    	  3.0818727    	 0.65079323    
  150.00000    	  155.00000    	  2.8059491    	 0.62465912    
  155.00000    	  160.00000    	  2.3920415    	 0.66167381    
  160.00000    	  165.00000    	  4.1141034    	 0.52282711    
  165.00000    	  170.00000    	  2.3340287    	 0.45064176    
  170.00000    	  175.00000    	  1.6188267    	 0.36740957    
  175.00000    	  180.00000    	  1.7446108    	 0.35864054    
  180.00000    	  185.00000    	  1.0707866    	 0.28230105    
  185.00000    	  190.00000    	  1.0129982    	 0.25966647    
  190.00000    	  195.00000    	  1.2217970    	 0.25521676    
  195.00000    	  200.00000    	 0.85246715    	 0.20457291    
