# pt(34)
# underflow	  0.0000000    	  0.0000000    
# overflow	  4.7546378    	 0.51962816E-01
# sum	  24676.216    	  42.205506    
# xmin	xmax	cross	numerror
  0.0000000    	  10.000000    	  15827.394    	  38.498146    
  10.000000    	  20.000000    	  5395.7921    	  14.445134    
  20.000000    	  30.000000    	  1622.4749    	  6.7252022    
  30.000000    	  40.000000    	  716.61597    	  4.1061248    
  40.000000    	  50.000000    	  433.15139    	  3.6710292    
  50.000000    	  60.000000    	  275.32700    	  2.9840454    
  60.000000    	  70.000000    	  155.73418    	  2.0068331    
  70.000000    	  80.000000    	  88.429535    	  1.0834929    
  80.000000    	  90.000000    	  53.870897    	 0.66556900    
  90.000000    	  100.00000    	  33.677722    	 0.46710985    
  100.00000    	  110.00000    	  21.560483    	 0.28652698    
  110.00000    	  120.00000    	  14.801218    	 0.22657921    
  120.00000    	  130.00000    	  10.338480    	 0.17838866    
  130.00000    	  140.00000    	  6.6994168    	 0.11072392    
  140.00000    	  150.00000    	  4.8398130    	 0.94144956E-01
  150.00000    	  160.00000    	  3.5093341    	 0.73970022E-01
  160.00000    	  170.00000    	  2.7136210    	 0.66329752E-01
  170.00000    	  180.00000    	  1.9866396    	 0.50141063E-01
  180.00000    	  190.00000    	  1.4558987    	 0.35430722E-01
  190.00000    	  200.00000    	  1.0891321    	 0.28598135E-01
