# pt34_highPtR
# underflow	  24726.589    	  35.333698    
# overflow	 0.76079477E-02	 0.20782636E-03
# sum	  24731.123    	  35.333724    
# xmin	xmax	cross	numerror
  200.00000    	  210.00000    	 0.88829631    	 0.24862563E-01
  210.00000    	  220.00000    	 0.69282967    	 0.18523039E-01
  220.00000    	  230.00000    	 0.50898286    	 0.14068895E-01
  230.00000    	  240.00000    	 0.42972164    	 0.12752395E-01
  240.00000    	  250.00000    	 0.35313868    	 0.13591830E-01
  250.00000    	  260.00000    	 0.28596637    	 0.11150276E-01
  260.00000    	  270.00000    	 0.24160428    	 0.86867874E-02
  270.00000    	  280.00000    	 0.18209081    	 0.64338556E-02
  280.00000    	  290.00000    	 0.14038380    	 0.50544517E-02
  290.00000    	  300.00000    	 0.12400092    	 0.48250153E-02
  300.00000    	  310.00000    	 0.95227333E-01	 0.37912394E-02
  310.00000    	  320.00000    	 0.86399664E-01	 0.36732595E-02
  320.00000    	  330.00000    	 0.73686095E-01	 0.32186478E-02
  330.00000    	  340.00000    	 0.66113558E-01	 0.36111087E-02
  340.00000    	  350.00000    	 0.49195882E-01	 0.20999860E-02
  350.00000    	  360.00000    	 0.40810014E-01	 0.20916785E-02
  360.00000    	  370.00000    	 0.37919719E-01	 0.17494724E-02
  370.00000    	  380.00000    	 0.31739247E-01	 0.16601078E-02
  380.00000    	  390.00000    	 0.26487605E-01	 0.12797965E-02
  390.00000    	  400.00000    	 0.20315577E-01	 0.10744615E-02
  400.00000    	  410.00000    	 0.19038106E-01	 0.11778369E-02
  410.00000    	  420.00000    	 0.16261037E-01	 0.83289333E-03
  420.00000    	  430.00000    	 0.14932199E-01	 0.94663270E-03
  430.00000    	  440.00000    	 0.13094559E-01	 0.77586255E-03
  440.00000    	  450.00000    	 0.10410715E-01	 0.65928698E-03
  450.00000    	  460.00000    	 0.10363296E-01	 0.63765114E-03
  460.00000    	  470.00000    	 0.84718007E-02	 0.56890800E-03
  470.00000    	  480.00000    	 0.71361252E-02	 0.47506441E-03
  480.00000    	  490.00000    	 0.75247220E-02	 0.62628835E-03
  490.00000    	  500.00000    	 0.47971559E-02	 0.30845172E-03
  500.00000    	  510.00000    	 0.54790979E-02	 0.41435120E-03
  510.00000    	  520.00000    	 0.42407274E-02	 0.27916129E-03
  520.00000    	  530.00000    	 0.40837721E-02	 0.31714568E-03
  530.00000    	  540.00000    	 0.33141724E-02	 0.25598419E-03
  540.00000    	  550.00000    	 0.27022086E-02	 0.21763112E-03
  550.00000    	  560.00000    	 0.24854971E-02	 0.21164555E-03
  560.00000    	  570.00000    	 0.19477578E-02	 0.15267625E-03
  570.00000    	  580.00000    	 0.23173030E-02	 0.20112096E-03
  580.00000    	  590.00000    	 0.16729111E-02	 0.13400387E-03
  590.00000    	  600.00000    	 0.16316000E-02	 0.14748365E-03
  600.00000    	  610.00000    	 0.16715491E-02	 0.15074489E-03
  610.00000    	  620.00000    	 0.85401044E-03	 0.87739927E-04
  620.00000    	  630.00000    	 0.12895223E-02	 0.12770127E-03
  630.00000    	  640.00000    	 0.95379327E-03	 0.88555452E-04
  640.00000    	  650.00000    	 0.10064340E-02	 0.10447163E-03
  650.00000    	  660.00000    	 0.79665446E-03	 0.76905705E-04
  660.00000    	  670.00000    	 0.59278290E-03	 0.59445487E-04
  670.00000    	  680.00000    	 0.65267735E-03	 0.59239735E-04
  680.00000    	  690.00000    	 0.73200140E-03	 0.76780639E-04
  690.00000    	  700.00000    	 0.66248833E-03	 0.72111591E-04
