# y(5)
# underflow	  0.0000000    	  0.0000000    
# overflow	  0.0000000    	  0.0000000    
# sum	  1305.2348    	  4.6257296    
# xmin	xmax	cross	numerror
 -2.4000000    	 -2.1600000    	  51.118181    	  1.0045255    
 -2.1600000    	 -1.9200000    	  56.296813    	  1.0010241    
 -1.9200000    	 -1.6800000    	  63.908561    	  1.2399369    
 -1.6800000    	 -1.4400000    	  63.326816    	  1.1121836    
 -1.4400000    	 -1.2000000    	  65.736074    	  1.0057683    
 -1.2000000    	-0.96000000    	  69.097762    	  1.0785271    
-0.96000000    	-0.72000000    	  70.887487    	  1.1177398    
-0.72000000    	-0.48000000    	  69.552859    	 0.96071359    
-0.48000000    	-0.24000000    	  71.223521    	 0.97255291    
-0.24000000    	  0.0000000    	  71.282573    	  1.0295304    
  0.0000000    	 0.24000000    	  72.305911    	  1.0928947    
 0.24000000    	 0.48000000    	  71.515539    	 0.95397356    
 0.48000000    	 0.72000000    	  71.149268    	  1.0056820    
 0.72000000    	 0.96000000    	  69.421988    	 0.95993619    
 0.96000000    	  1.2000000    	  70.503521    	  1.0357079    
  1.2000000    	  1.4400000    	  65.755660    	 0.97815128    
  1.4400000    	  1.6800000    	  63.563915    	  1.0014202    
  1.6800000    	  1.9200000    	  60.447871    	 0.99150462    
  1.9200000    	  2.1600000    	  55.678952    	  1.1262343    
  2.1600000    	  2.4000000    	  52.461485    	 0.96840351    
