# deltaY(34)
# underflow	 0.67025358E-01	 0.17563321E-02
# overflow	 0.63478510E-01	 0.17142805E-02
# sum	  12919.348    	  10.834549    
# xmin	xmax	cross	numerror
 -5.0000000    	 -4.6000000    	 0.45057645    	 0.54284957E-02
 -4.6000000    	 -4.2000000    	  1.7593144    	 0.14773819E-01
 -4.2000000    	 -3.8000000    	  5.4539837    	 0.35873189E-01
 -3.8000000    	 -3.4000000    	  15.188946    	 0.79346758E-01
 -3.4000000    	 -3.0000000    	  37.872469    	 0.17213457    
 -3.0000000    	 -2.6000000    	  87.521665    	 0.34370485    
 -2.6000000    	 -2.2000000    	  186.36263    	 0.61224168    
 -2.2000000    	 -1.8000000    	  361.10131    	  1.0049350    
 -1.8000000    	 -1.4000000    	  634.96955    	  1.7294672    
 -1.4000000    	 -1.0000000    	  1007.1414    	  2.9132955    
 -1.0000000    	-0.60000000    	  1408.5760    	  3.8113357    
-0.60000000    	-0.20000000    	  1763.6047    	  4.7290989    
-0.20000000    	 0.20000000    	  1909.5351    	  4.5414422    
 0.20000000    	 0.60000000    	  1746.5594    	  4.4153144    
 0.60000000    	  1.0000000    	  1415.0111    	  3.6778191    
  1.0000000    	  1.4000000    	  1004.2237    	  2.9357563    
  1.4000000    	  1.8000000    	  635.11275    	  1.7786360    
  1.8000000    	  2.2000000    	  363.13977    	  1.2067221    
  2.2000000    	  2.6000000    	  186.59259    	 0.67931678    
  2.6000000    	  3.0000000    	  88.216418    	 0.31565711    
  3.0000000    	  3.4000000    	  38.188801    	 0.16245482    
  3.4000000    	  3.8000000    	  15.017504    	 0.69957153E-01
  3.8000000    	  4.2000000    	  5.4291482    	 0.32663031E-01
  4.2000000    	  4.6000000    	  1.7397659    	 0.13695033E-01
  4.6000000    	  5.0000000    	 0.44912731    	 0.54111416E-02
