# m(34)
# underflow	  0.0000000    	  0.0000000    
# overflow	  48.788304    	 0.43963877    
# sum	  12929.093    	  10.758583    
# xmin	xmax	cross	numerror
  0.0000000    	  5.0000000    	  0.0000000    	  0.0000000    
  5.0000000    	  10.000000    	  0.0000000    	  0.0000000    
  10.000000    	  15.000000    	  0.0000000    	  0.0000000    
  15.000000    	  20.000000    	  0.0000000    	  0.0000000    
  20.000000    	  25.000000    	  0.0000000    	  0.0000000    
  25.000000    	  30.000000    	  0.0000000    	  0.0000000    
  30.000000    	  35.000000    	  0.0000000    	  0.0000000    
  35.000000    	  40.000000    	  0.0000000    	  0.0000000    
  40.000000    	  45.000000    	  0.0000000    	  0.0000000    
  45.000000    	  50.000000    	  0.0000000    	  0.0000000    
  50.000000    	  55.000000    	  1460.7815    	  5.8082430    
  55.000000    	  60.000000    	  1826.7018    	  4.4518015    
  60.000000    	  65.000000    	  1621.3504    	  3.6703789    
  65.000000    	  70.000000    	  1362.8037    	  3.0353744    
  70.000000    	  75.000000    	  1114.9154    	  2.9904318    
  75.000000    	  80.000000    	  904.56943    	  2.4140460    
  80.000000    	  85.000000    	  737.67817    	  2.1140586    
  85.000000    	  90.000000    	  602.09960    	  1.8714252    
  90.000000    	  95.000000    	  491.84012    	  1.6011298    
  95.000000    	  100.00000    	  407.81189    	  1.5636641    
  100.00000    	  105.00000    	  337.51129    	  1.3468337    
  105.00000    	  110.00000    	  283.02899    	  1.2304378    
  110.00000    	  115.00000    	  237.68710    	  1.0851732    
  115.00000    	  120.00000    	  198.98687    	 0.99979266    
  120.00000    	  125.00000    	  169.51200    	 0.92078882    
  125.00000    	  130.00000    	  143.62587    	 0.87716059    
  130.00000    	  135.00000    	  123.27478    	 0.76550733    
  135.00000    	  140.00000    	  103.60448    	 0.68429905    
  140.00000    	  145.00000    	  91.230168    	 0.70503073    
  145.00000    	  150.00000    	  79.051490    	 0.63761650    
  150.00000    	  155.00000    	  69.009100    	 0.56317073    
  155.00000    	  160.00000    	  59.066141    	 0.48804276    
  160.00000    	  165.00000    	  51.194497    	 0.46820105    
  165.00000    	  170.00000    	  45.202627    	 0.43100363    
  170.00000    	  175.00000    	  40.552123    	 0.44480479    
  175.00000    	  180.00000    	  35.399029    	 0.40792610    
  180.00000    	  185.00000    	  31.662680    	 0.39579022    
  185.00000    	  190.00000    	  28.000364    	 0.35002720    
  190.00000    	  195.00000    	  24.766867    	 0.33409777    
  195.00000    	  200.00000    	  22.174073    	 0.29092134    
  200.00000    	  205.00000    	  19.641265    	 0.30833279    
  205.00000    	  210.00000    	  17.571214    	 0.26764224    
  210.00000    	  215.00000    	  15.412648    	 0.24980624    
  215.00000    	  220.00000    	  14.136582    	 0.24047854    
  220.00000    	  225.00000    	  13.024581    	 0.21698806    
  225.00000    	  230.00000    	  11.206793    	 0.19777018    
  230.00000    	  235.00000    	  10.061521    	 0.19200363    
  235.00000    	  240.00000    	  9.3163458    	 0.19548335    
  240.00000    	  245.00000    	  8.6908410    	 0.18429855    
  245.00000    	  250.00000    	  7.5124040    	 0.15691871    
  250.00000    	  255.00000    	  7.1702818    	 0.17680524    
  255.00000    	  260.00000    	  6.8208975    	 0.17591885    
  260.00000    	  265.00000    	  5.8119547    	 0.13730814    
  265.00000    	  270.00000    	  5.4829604    	 0.14188199    
  270.00000    	  275.00000    	  4.7824226    	 0.12718196    
  275.00000    	  280.00000    	  4.2274216    	 0.10786297    
  280.00000    	  285.00000    	  4.1995361    	 0.12184478    
  285.00000    	  290.00000    	  3.8248097    	 0.11546327    
  290.00000    	  295.00000    	  3.3314608    	 0.10299443    
  295.00000    	  300.00000    	  2.9863779    	 0.95507526E-01
