# pt(3)
# underflow	  0.0000000    	  0.0000000    
# overflow	  6.6174494    	 0.11808141    
# sum	  12940.089    	  10.518195    
# xmin	xmax	cross	numerror
  0.0000000    	  5.0000000    	  0.0000000    	  0.0000000    
  5.0000000    	  10.000000    	  0.0000000    	  0.0000000    
  10.000000    	  15.000000    	  0.0000000    	  0.0000000    
  15.000000    	  20.000000    	  0.0000000    	  0.0000000    
  20.000000    	  25.000000    	  0.0000000    	  0.0000000    
  25.000000    	  30.000000    	  5911.4334    	  8.3180088    
  30.000000    	  35.000000    	  2866.4065    	  3.9272836    
  35.000000    	  40.000000    	  1537.2646    	  3.0014317    
  40.000000    	  45.000000    	  883.80440    	  2.2883803    
  45.000000    	  50.000000    	  545.68815    	  1.9149941    
  50.000000    	  55.000000    	  349.77102    	  1.5307675    
  55.000000    	  60.000000    	  230.66737    	  1.2564119    
  60.000000    	  65.000000    	  157.59052    	  1.0875233    
  65.000000    	  70.000000    	  109.58031    	 0.83931002    
  70.000000    	  75.000000    	  79.962498    	 0.78329253    
  75.000000    	  80.000000    	  57.830112    	 0.61211278    
  80.000000    	  85.000000    	  43.956426    	 0.56002738    
  85.000000    	  90.000000    	  32.973355    	 0.49312999    
  90.000000    	  95.000000    	  25.834728    	 0.41032800    
  95.000000    	  100.00000    	  19.621851    	 0.35846999    
  100.00000    	  105.00000    	  15.152426    	 0.31717226    
  105.00000    	  110.00000    	  12.287384    	 0.26312406    
  110.00000    	  115.00000    	  10.016902    	 0.27419077    
  115.00000    	  120.00000    	  7.3618410    	 0.17730682    
  120.00000    	  125.00000    	  6.3472377    	 0.17115681    
  125.00000    	  130.00000    	  5.7350127    	 0.20277565    
  130.00000    	  135.00000    	  4.2088611    	 0.14542154    
  135.00000    	  140.00000    	  3.5335347    	 0.13460601    
  140.00000    	  145.00000    	  2.9192662    	 0.11237803    
  145.00000    	  150.00000    	  2.4024663    	 0.10404488    
  150.00000    	  155.00000    	  1.9459884    	 0.92382718E-01
  155.00000    	  160.00000    	  1.5897355    	 0.72472543E-01
  160.00000    	  165.00000    	  1.4288389    	 0.64961692E-01
  165.00000    	  170.00000    	  1.2105935    	 0.53224426E-01
  170.00000    	  175.00000    	  1.0538515    	 0.46877637E-01
  175.00000    	  180.00000    	 0.98563047    	 0.57973056E-01
  180.00000    	  185.00000    	 0.80517245    	 0.47272647E-01
  185.00000    	  190.00000    	 0.79518227    	 0.42795405E-01
  190.00000    	  195.00000    	 0.66585955    	 0.35550391E-01
  195.00000    	  200.00000    	 0.64016170    	 0.31412536E-01
