# pt(34)
# underflow	  0.0000000    	  0.0000000    
# overflow	  0.0000000    	  0.0000000    
# sum	  12960.360    	  9.7315171    
# xmin	xmax	cross	numerror
  0.0000000    	  10.000000    	  12960.360    	  9.7315171    
  10.000000    	  20.000000    	  0.0000000    	  0.0000000    
  20.000000    	  30.000000    	  0.0000000    	  0.0000000    
  30.000000    	  40.000000    	  0.0000000    	  0.0000000    
  40.000000    	  50.000000    	  0.0000000    	  0.0000000    
  50.000000    	  60.000000    	  0.0000000    	  0.0000000    
  60.000000    	  70.000000    	  0.0000000    	  0.0000000    
  70.000000    	  80.000000    	  0.0000000    	  0.0000000    
  80.000000    	  90.000000    	  0.0000000    	  0.0000000    
  90.000000    	  100.00000    	  0.0000000    	  0.0000000    
  100.00000    	  110.00000    	  0.0000000    	  0.0000000    
  110.00000    	  120.00000    	  0.0000000    	  0.0000000    
  120.00000    	  130.00000    	  0.0000000    	  0.0000000    
  130.00000    	  140.00000    	  0.0000000    	  0.0000000    
  140.00000    	  150.00000    	  0.0000000    	  0.0000000    
  150.00000    	  160.00000    	  0.0000000    	  0.0000000    
  160.00000    	  170.00000    	  0.0000000    	  0.0000000    
  170.00000    	  180.00000    	  0.0000000    	  0.0000000    
  180.00000    	  190.00000    	  0.0000000    	  0.0000000    
  190.00000    	  200.00000    	  0.0000000    	  0.0000000    
