# y(34)
# underflow	  0.0000000    	  0.0000000    
# overflow	  0.0000000    	  0.0000000    
# sum	  12919.164    	  10.761161    
# xmin	xmax	cross	numerror
 -5.0000000    	 -4.6000000    	  0.0000000    	  0.0000000    
 -4.6000000    	 -4.2000000    	  0.0000000    	  0.0000000    
 -4.2000000    	 -3.8000000    	  0.0000000    	  0.0000000    
 -3.8000000    	 -3.4000000    	  0.0000000    	  0.0000000    
 -3.4000000    	 -3.0000000    	  0.0000000    	  0.0000000    
 -3.0000000    	 -2.6000000    	  9.8244537    	 0.55688232    
 -2.6000000    	 -2.2000000    	  264.34859    	  2.4829382    
 -2.2000000    	 -1.8000000    	  657.26348    	  3.1482175    
 -1.8000000    	 -1.4000000    	  967.84798    	  2.9610317    
 -1.4000000    	 -1.0000000    	  1170.3133    	  2.8052412    
 -1.0000000    	-0.60000000    	  1301.8507    	  3.0848580    
-0.60000000    	-0.20000000    	  1380.2908    	  2.9355516    
-0.20000000    	 0.20000000    	  1408.8205    	  3.4907831    
 0.20000000    	 0.60000000    	  1382.0351    	  3.2224790    
 0.60000000    	  1.0000000    	  1310.9197    	  3.0501923    
  1.0000000    	  1.4000000    	  1173.4945    	  3.1881898    
  1.4000000    	  1.8000000    	  966.76930    	  2.9555615    
  1.8000000    	  2.2000000    	  653.73955    	  2.7043853    
  2.2000000    	  2.6000000    	  263.02891    	  2.4803645    
  2.6000000    	  3.0000000    	  8.6167943    	 0.63709886    
  3.0000000    	  3.4000000    	  0.0000000    	  0.0000000    
  3.4000000    	  3.8000000    	  0.0000000    	  0.0000000    
  3.8000000    	  4.2000000    	  0.0000000    	  0.0000000    
  4.2000000    	  4.6000000    	  0.0000000    	  0.0000000    
  4.6000000    	  5.0000000    	  0.0000000    	  0.0000000    
